id,OFFENSE_CODE_GROUP,OCCURRED_ON_DATE,STREET,Lat,Long,Image_Id
76,Medical Assistance,10/3/2018 15:30,PERKINS ST,42.321017,-71.116192,5cae691a579dc84342e094d4
77,Medical Assistance,10/3/2018 15:16,ALLEGHANY ST,42.33057,-71.099591,5cae691a579dc84342e094d4
78,Aggravated Assault,10/3/2018 16:24,WASHINGTON ST,42.333826,-71.08251,5cae691a579dc84342e09534
79,Larceny,10/3/2018 16:12,K ST,42.332678,-71.037337,5cae691a579dc84342e094d4
80,Drug Violation,10/3/2018 14:45,PARIS ST,42.370818,-71.039291,5cae691a579dc84342e094d4
81,Restraining Order Violations,10/3/2018 15:00,BOYLSTON ST,42.352312,-71.063705,5cae691a579dc84342e095c3
82,Larceny,9/28/2018 10:00,COURT ST,42.358923,-71.058354,5cae691a579dc84342e094d4
83,Property Found,10/3/2018 16:37,HANOVER ST,42.361794,-71.057113,5cae691a579dc84342e094d4
84,Investigate Person,10/3/2018 15:54,BUNKER HILL ST,42.3768,-71.057009,5cae691a579dc84342e094d4
85,Missing Person Reported,10/2/2018 22:00,ATLANTIC AVE,42.353216,-71.05452,5cae691a579dc84342e0956e
86,Medical Assistance,10/3/2018 15:49,WASHINGTON ST,42.335066,-71.078791,5cae691a579dc84342e09534
87,Motor Vehicle Accident Response,10/3/2018 16:00,ALWIN ST,42.254699,-71.143553,5cae691a579dc84342e094d4
88,Property Lost,9/24/2018 16:23,HOMESTEAD ST,42.313422,-71.09349,5cae691a579dc84342e094d4
89,Vandalism,10/2/2018 11:00,MARTIN LUTHER KING JR BLV,42.318472,-71.084093,5cae691a579dc84342e094fe
90,Harassment,10/2/2018 11:00,MARTIN LUTHER KING JR BLV,42.318472,-71.084093,5cae691a579dc84342e094fe
91,Larceny,10/3/2018 14:31,E EAGLE ST,42.381345,-71.032381,5cae691a579dc84342e094d4
92,Simple Assault,10/3/2018 14:31,E EAGLE ST,42.381345,-71.032381,5cae691a579dc84342e094d4
93,Missing Person Reported,10/3/2018 14:20,RIDGEWOOD ST,42.302094,-71.065752,5cae691a579dc84342e094d4
94,Drug Violation,10/3/2018 15:09,BENNINGTON ST,42.386306,-71.00773,5cae691a579dc84342e094d4
95,Medical Assistance,10/3/2018 14:15,HANCOCK ST,42.360254,-71.064471,5cae691a579dc84342e095ab
96,Confidence Games,10/3/2018 15:37,MEDFORD ST,42.380998,-71.062101,5cae691a579dc84342e094d4
97,Motor Vehicle Accident Response,10/3/2018 15:34,DEGAUTIER WAY,42.33051,-71.080342,5cae691a579dc84342e094d4
98,Warrant Arrests,10/3/2018 15:13,EUSTIS ST,42.330775,-71.08062,5cae691a579dc84342e094d4
99,Drug Violation,10/3/2018 14:55,EDINBORO ST,42.352546,-71.059817,5cae691a579dc84342e094d4
100,Property Lost,10/3/2018 15:33,TREMONT ST,42.333807,-71.103778,5cae691a579dc84342e094f0
101,Other,10/3/2018 14:26,WASHINGTON ST,42.321381,-71.072201,5cae691a579dc84342e09534
